Positions	Ratio of complementary nucleotides
0	0.600985221675
1	0.679187192118
2	0.693349753695
3	0.659790640394
4	0.688115763547
5	0.642549261084
6	0.680418719212
7	0.657019704433
8	0.62407635468
9	0.651169950739
10	0.663177339901
11	0.666564039409
12	0.669642857143
13	0.673645320197
14	0.684421182266
15	0.692426108374
16	0.664709517923
17	0.654380860006
18	0.632288506909
19	0.683327383077
20	0.639381365522
21	0.589189189189
22	0.610294117647
23	0.601694915254
24	0.48623853211
25	0.75
26	0.375
27	0
