Positions	Ratio of complementary nucleotides
0	0.599255783854
1	0.624817990616
2	0.604756511891
3	0.579356091247
4	0.637922666235
5	0.612198673354
6	0.593107911341
7	0.59715256431
8	0.602815078466
9	0.560750687591
10	0.641967319204
11	0.590195761204
12	0.617052256916
13	0.595211130885
14	0.599579356091
15	0.63080407701
16	0.601265822785
17	0.598645362973
18	0.566624017547
19	0.59968847352
20	0.589352042922
21	0.559723330673
22	0.578475336323
23	0.556994818653
24	0.438596491228
25	0.732394366197
26	0.785714285714
27	0
