'hsa-miR-495-3p', ['648', '350', '1442', '702']
'hsa-miR-33a-5p', ['19', '138', '1464', '390']
'hsa-miR-34c-5p', ['6615', '75', '361', '17']
'hsa-miR-373-3p', ['8434', '1261', '365', '695']
'hsa-miR-548d-5p', ['5465', '5121', '6301', '7393']
'hsa-miR-432-5p', ['103', '3324', '4414', '3551']
'hsa-miR-486-5p', ['3480', '5237', '5183', '1239']
'hsa-miR-339-5p', ['7803', '1888', '24', '723']
'hsa-miR-501-5p', ['10542', '173', '15', '55']
'hsa-miR-219a-5p', ['818', '1220', '924', '1887']
'hsa-miR-190a-5p', ['3479', '862', '291', '1768']
'hsa-miR-509-3p', ['1080', '1039', '1410', '655']
'hsa-miR-1296-5p', ['4171', '1', '88', '41']
'gga-miR-26a-5p', ['10783', '32', '1455', '1415']
'hsa-let-7i-5p', ['10980', '380', '284', '24']
'hsa-miR-32-5p', ['10419', '46', '320', '129']
'hsa-miR-23b-5p', ['5625', '216', '176', '24']
'hsa-miR-106b-5p', ['7291', '170', '392', '275']
'hsa-miR-101-3p', ['1003', '1551', '648', '1066']
'hsa-miR-125a-3p', ['2239', '330', '506', '1126']
'hsa-miR-302c-3p', ['207', '774', '290', '515']
'hsa-miR-1182', ['7015', '377', '450', '78']
'hsa-miR-382-5p', ['5728', '961', '1718', '891']
'hsa-miR-542-5p', ['1956', '658', '1006', '922']
'hsa-miR-383-5p', ['1733', '106', '338', '370']
'rno-miR-19a-3p', ['114907', '47', '145', '1']
'hsa-miR-1258', ['10855', '997', '4', '1280']
'gga-miR-489-3p', ['4088', '323', '1958', '2260']
'hsa-miR-30e-3p', ['4792', '194', '1', '302']
'hsa-miR-521', ['1161', '35', '617', '310']
'hsa-miR-16-2-3p', ['5915', '1067', '570', '1018']
'hsa-miR-221-3p', ['7078', '2426', '1296', '609']
'rno-miR-19b-3p', ['114907', '47', '145', '1']
'hsa-miR-605-5p', ['9871', '477', '118', '228']
'hsa-miR-630', ['10413', '1485', '1026', '1782']
